,cost,solution,time
example,8253.642421344399,"{'Operation1': {'Subtask1': 'Erfurt', 'Subtask2': 'Erfurt', 'Subtask4': 'Frankfurt', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation2': {'Subtask1': 'Hannover', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask9': 'Dusseldorf', 'Subtask10': 'Bremen'}, 'Operation3': {'Subtask1': 'Hannover', 'Subtask4': 'Bremen', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask8': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation4': {'Subtask1': 'Hannover', 'Subtask2': 'Dresden', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation5': {'Subtask1': 'Hannover', 'Subtask2': 'Dresden', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}}",1.203101634979248
"5,10,10-1",4131.125633857784,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation4': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8'}, 'Operation3': {'Sub-operation1': 'city10', 'Sub-operation2': 'city10', 'Sub-operation5': 'city6', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation4': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8', 'Sub-operation10': 'city4'}, 'Operation5': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8'}}",0.6830556392669678
"5,10,10-2",5503.321218042712,"{'Operation1': {'Sub-operation1': 'city2', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation4': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}}",1.0669198036193848
"5,10,10-3",5849.871060020025,"{'Operation1': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation4': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}}",1.087325096130371
"5,5,5-1",2576.59820792444,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1'}, 'Operation3': {'Sub-operation1': 'city3', 'Sub-operation4': 'city3'}, 'Operation4': {'Sub-operation1': 'city2', 'Sub-operation2': 'city2'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city5', 'Sub-operation5': 'city5'}}",0.048534393310546875
"5,5,5-2",5425.946188547727,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city3', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city3', 'Sub-operation5': 'city1'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city3', 'Sub-operation5': 'city1'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation4': 'city3'}}",0.10420751571655273
"5,5,5-3",6149.624015009506,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city3', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city3', 'Sub-operation5': 'city1'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city3', 'Sub-operation5': 'city1'}, 'Operation4': {'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city3', 'Sub-operation5': 'city1'}}",0.15507936477661133
"10,10,10-1",9761.358986990275,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation4': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8'}, 'Operation3': {'Sub-operation1': 'city10', 'Sub-operation2': 'city10', 'Sub-operation5': 'city6', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation4': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8', 'Sub-operation10': 'city4'}, 'Operation5': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8'}, 'Operation6': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation7': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation8': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation9': {'Sub-operation1': 'city2', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation6': 'city1', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation10': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}}",1.7528743743896484
"10,10,10-2",10921.079954471845,"{'Operation1': {'Sub-operation1': 'city2', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation4': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation6': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation7': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8', 'Sub-operation10': 'city4'}, 'Operation8': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city4'}, 'Operation9': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation10': {'Sub-operation1': 'city2', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}}",1.902111530303955
"10,10,10-3",11187.172450587543,"{'Operation1': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation4': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation6': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8'}, 'Operation7': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8', 'Sub-operation10': 'city4'}, 'Operation8': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8', 'Sub-operation10': 'city4'}, 'Operation9': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8', 'Sub-operation10': 'city4'}, 'Operation10': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}}",2.14054536819458
