,cost,solution,time
example,8253.642421344399,"{'Operation1': {'Subtask1': 'Erfurt', 'Subtask2': 'Erfurt', 'Subtask4': 'Frankfurt', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation2': {'Subtask1': 'Hannover', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask9': 'Dusseldorf', 'Subtask10': 'Bremen'}, 'Operation3': {'Subtask1': 'Hannover', 'Subtask4': 'Bremen', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask8': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation4': {'Subtask1': 'Hannover', 'Subtask2': 'Dresden', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}, 'Operation5': {'Subtask1': 'Hannover', 'Subtask2': 'Dresden', 'Subtask3': 'Dresden', 'Subtask4': 'Frankfurt', 'Subtask5': 'Hamburg', 'Subtask6': 'Berlin', 'Subtask7': 'Hannover', 'Subtask8': 'Erfurt', 'Subtask9': 'Erfurt', 'Subtask10': 'Bremen'}}",1.2438228130340576
"5,10,10-1",5086.083142240973,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation4': 'city2', 'Sub-operation6': 'city2', 'Sub-operation7': 'city2'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}}",3.1232330799102783
"5,10,10-2",7352.656258691601,"{'Operation1': {'Sub-operation1': 'city9', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation3': {'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}}",34.76778054237366
"5,10,10-3",7652.315226974414,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}}",60.24804615974426
"5,5,5-1",2648.6294673612974,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1'}, 'Operation3': {'Sub-operation1': 'city3', 'Sub-operation4': 'city3'}, 'Operation4': {'Sub-operation1': 'city2', 'Sub-operation2': 'city2'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city1'}}",0.04702019691467285
"5,5,5-2",5944.423926202039,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation4': 'city3'}}",0.09766530990600586
"5,5,5-3",6653.881316846512,"{'Operation1': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation4': {'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}}",0.08484005928039551
"10,10,10-1",12262.872325556604,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation4': 'city2', 'Sub-operation6': 'city2', 'Sub-operation7': 'city2'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}, 'Operation6': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation7': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8', 'Sub-operation9': 'city8', 'Sub-operation10': 'city4'}, 'Operation8': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation9': {'Sub-operation1': 'city10', 'Sub-operation3': 'city10', 'Sub-operation4': 'city10', 'Sub-operation6': 'city10', 'Sub-operation9': 'city10', 'Sub-operation10': 'city10'}, 'Operation10': {'Sub-operation1': 'city10', 'Sub-operation2': 'city10', 'Sub-operation3': 'city10', 'Sub-operation6': 'city10', 'Sub-operation7': 'city10', 'Sub-operation8': 'city10', 'Sub-operation9': 'city10', 'Sub-operation10': 'city10'}}",60.346163511276245
"10,10,10-2",14887.568280015377,"{'Operation1': {'Sub-operation1': 'city9', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city8', 'Sub-operation9': 'city8', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city8', 'Sub-operation9': 'city8', 'Sub-operation10': 'city4'}, 'Operation6': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation7': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation8': {'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city4'}, 'Operation9': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation7': 'city8', 'Sub-operation9': 'city8', 'Sub-operation10': 'city4'}, 'Operation10': {'Sub-operation1': 'city9', 'Sub-operation3': 'city9', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}}",60.425257444381714
"10,10,10-3",14344.91852444262,"{'Operation1': {'Sub-operation1': 'city6', 'Sub-operation2': 'city3', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation3': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}, 'Operation5': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation9': 'city7'}, 'Operation6': {'Sub-operation1': 'city9', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4'}, 'Operation7': {'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation8': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation9': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city1', 'Sub-operation8': 'city4', 'Sub-operation10': 'city4'}, 'Operation10': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation4': 'city4', 'Sub-operation5': 'city4', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}}",60.446829080581665
