,cost,solution,time
example,16878.957567975027,"{'Operation1': {'Subtask1': 'Erfurt', 'Subtask2': 'Dusseldorf', 'Subtask4': 'Munich', 'Subtask5': 'Bremen', 'Subtask6': 'Munich', 'Subtask8': 'Hannover', 'Subtask9': 'Stuttgart', 'Subtask10': 'Frankfurt'}, 'Operation2': {'Subtask1': 'Stuttgart', 'Subtask3': 'Erfurt', 'Subtask4': 'Erfurt', 'Subtask6': 'Stuttgart', 'Subtask7': 'Hannover', 'Subtask9': 'Bremen', 'Subtask10': 'Hannover'}, 'Operation3': {'Subtask1': 'Hannover', 'Subtask4': 'Hannover', 'Subtask5': 'Stuttgart', 'Subtask6': 'Berlin', 'Subtask7': 'Dresden', 'Subtask8': 'Stuttgart', 'Subtask10': 'Stuttgart'}, 'Operation4': {'Subtask1': 'Hannover', 'Subtask2': 'Frankfurt', 'Subtask3': 'Bremen', 'Subtask4': 'Dresden', 'Subtask8': 'Dresden', 'Subtask9': 'Erfurt', 'Subtask10': 'Dresden'}, 'Operation5': {'Subtask1': 'Munich', 'Subtask2': 'Erfurt', 'Subtask3': 'Dresden', 'Subtask4': 'Berlin', 'Subtask5': 'Munich', 'Subtask6': 'Stuttgart', 'Subtask7': 'Frankfurt', 'Subtask8': 'Erfurt', 'Subtask9': 'Stuttgart', 'Subtask10': 'Munich'}}",0.005291461944580078
"5,10,10-1",12439.931906379603,"{'Operation1': {'Sub-operation3': 'city10', 'Sub-operation5': 'city3', 'Sub-operation6': 'city5', 'Sub-operation7': 'city4', 'Sub-operation8': 'city7'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation4': 'city7', 'Sub-operation6': 'city5', 'Sub-operation7': 'city10'}, 'Operation3': {'Sub-operation1': 'city7', 'Sub-operation2': 'city4', 'Sub-operation5': 'city6', 'Sub-operation8': 'city4', 'Sub-operation9': 'city8', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation2': 'city5', 'Sub-operation3': 'city7', 'Sub-operation4': 'city4', 'Sub-operation5': 'city6', 'Sub-operation7': 'city3', 'Sub-operation8': 'city1', 'Sub-operation10': 'city5'}, 'Operation5': {'Sub-operation1': 'city10', 'Sub-operation2': 'city4', 'Sub-operation5': 'city3', 'Sub-operation6': 'city9', 'Sub-operation7': 'city10', 'Sub-operation8': 'city9'}}",0.0035669803619384766
"5,10,10-2",15300.027176773458,"{'Operation1': {'Sub-operation1': 'city6', 'Sub-operation3': 'city5', 'Sub-operation4': 'city2', 'Sub-operation5': 'city1', 'Sub-operation6': 'city9', 'Sub-operation7': 'city10', 'Sub-operation8': 'city1', 'Sub-operation9': 'city3', 'Sub-operation10': 'city3'}, 'Operation2': {'Sub-operation1': 'city9', 'Sub-operation2': 'city5', 'Sub-operation3': 'city5', 'Sub-operation5': 'city1', 'Sub-operation6': 'city10', 'Sub-operation7': 'city8', 'Sub-operation8': 'city9', 'Sub-operation9': 'city10', 'Sub-operation10': 'city8'}, 'Operation3': {'Sub-operation3': 'city4', 'Sub-operation4': 'city9', 'Sub-operation7': 'city2', 'Sub-operation8': 'city10', 'Sub-operation9': 'city7'}, 'Operation4': {'Sub-operation1': 'city5', 'Sub-operation2': 'city10', 'Sub-operation4': 'city4', 'Sub-operation5': 'city3', 'Sub-operation6': 'city6', 'Sub-operation7': 'city1', 'Sub-operation9': 'city8'}, 'Operation5': {'Sub-operation3': 'city7', 'Sub-operation5': 'city5', 'Sub-operation6': 'city1', 'Sub-operation8': 'city1', 'Sub-operation9': 'city8', 'Sub-operation10': 'city10'}}",0.00515437126159668
"5,10,10-3",18722.233420257166,"{'Operation1': {'Sub-operation1': 'city9', 'Sub-operation2': 'city3', 'Sub-operation3': 'city5', 'Sub-operation4': 'city6', 'Sub-operation5': 'city4', 'Sub-operation6': 'city6', 'Sub-operation7': 'city8', 'Sub-operation8': 'city10', 'Sub-operation9': 'city8', 'Sub-operation10': 'city10'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city10', 'Sub-operation3': 'city6', 'Sub-operation4': 'city10', 'Sub-operation5': 'city4', 'Sub-operation8': 'city10', 'Sub-operation10': 'city3'}, 'Operation3': {'Sub-operation1': 'city9', 'Sub-operation2': 'city10', 'Sub-operation3': 'city7', 'Sub-operation4': 'city10', 'Sub-operation5': 'city5', 'Sub-operation6': 'city8', 'Sub-operation7': 'city3', 'Sub-operation8': 'city1', 'Sub-operation9': 'city2', 'Sub-operation10': 'city10'}, 'Operation4': {'Sub-operation1': 'city5', 'Sub-operation2': 'city3', 'Sub-operation3': 'city5', 'Sub-operation4': 'city6', 'Sub-operation5': 'city6', 'Sub-operation6': 'city2', 'Sub-operation8': 'city1', 'Sub-operation9': 'city5'}, 'Operation5': {'Sub-operation2': 'city4', 'Sub-operation4': 'city2', 'Sub-operation5': 'city4', 'Sub-operation6': 'city3', 'Sub-operation7': 'city10', 'Sub-operation9': 'city5'}}",0.0049397945404052734
"5,5,5-1",4225.779499497948,"{'Operation1': {'Sub-operation3': 'city1', 'Sub-operation5': 'city1'}, 'Operation2': {'Sub-operation1': 'city5', 'Sub-operation2': 'city4', 'Sub-operation3': 'city2'}, 'Operation3': {'Sub-operation1': 'city3', 'Sub-operation4': 'city4'}, 'Operation4': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4'}, 'Operation5': {'Sub-operation1': 'city3', 'Sub-operation2': 'city2', 'Sub-operation5': 'city1'}}",0.0019922256469726562
"5,5,5-2",7418.640280953905,"{'Operation1': {'Sub-operation1': 'city2', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city5'}, 'Operation2': {'Sub-operation1': 'city2', 'Sub-operation2': 'city5', 'Sub-operation3': 'city2', 'Sub-operation4': 'city4', 'Sub-operation5': 'city1'}, 'Operation3': {'Sub-operation1': 'city3', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation5': 'city5'}, 'Operation4': {'Sub-operation1': 'city3', 'Sub-operation2': 'city5', 'Sub-operation3': 'city1', 'Sub-operation4': 'city3', 'Sub-operation5': 'city5'}, 'Operation5': {'Sub-operation3': 'city2', 'Sub-operation4': 'city3'}}",0.004233598709106445
"5,5,5-3",9196.86750254774,"{'Operation1': {'Sub-operation1': 'city5', 'Sub-operation2': 'city4', 'Sub-operation3': 'city2', 'Sub-operation4': 'city3', 'Sub-operation5': 'city5'}, 'Operation2': {'Sub-operation1': 'city4', 'Sub-operation2': 'city2', 'Sub-operation3': 'city2', 'Sub-operation4': 'city4', 'Sub-operation5': 'city5'}, 'Operation3': {'Sub-operation1': 'city2', 'Sub-operation2': 'city4', 'Sub-operation3': 'city2', 'Sub-operation4': 'city4', 'Sub-operation5': 'city5'}, 'Operation4': {'Sub-operation3': 'city1', 'Sub-operation5': 'city5'}, 'Operation5': {'Sub-operation1': 'city4', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation4': 'city4', 'Sub-operation5': 'city5'}}",0.0027806758880615234
"10,10,10-1",25788.26549035151,"{'Operation1': {'Sub-operation3': 'city5', 'Sub-operation5': 'city1', 'Sub-operation6': 'city3', 'Sub-operation7': 'city7', 'Sub-operation8': 'city9'}, 'Operation2': {'Sub-operation1': 'city9', 'Sub-operation4': 'city7', 'Sub-operation6': 'city9', 'Sub-operation7': 'city8'}, 'Operation3': {'Sub-operation1': 'city6', 'Sub-operation2': 'city6', 'Sub-operation5': 'city5', 'Sub-operation8': 'city4', 'Sub-operation9': 'city9', 'Sub-operation10': 'city7'}, 'Operation4': {'Sub-operation2': 'city6', 'Sub-operation3': 'city4', 'Sub-operation4': 'city10', 'Sub-operation5': 'city3', 'Sub-operation7': 'city2', 'Sub-operation8': 'city3', 'Sub-operation10': 'city6'}, 'Operation5': {'Sub-operation1': 'city7', 'Sub-operation2': 'city5', 'Sub-operation5': 'city5', 'Sub-operation6': 'city1', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7'}, 'Operation6': {'Sub-operation1': 'city7', 'Sub-operation2': 'city4', 'Sub-operation3': 'city7', 'Sub-operation4': 'city6', 'Sub-operation5': 'city1', 'Sub-operation6': 'city2', 'Sub-operation8': 'city5', 'Sub-operation9': 'city2', 'Sub-operation10': 'city9'}, 'Operation7': {'Sub-operation2': 'city10', 'Sub-operation3': 'city10', 'Sub-operation4': 'city7', 'Sub-operation7': 'city1', 'Sub-operation8': 'city1', 'Sub-operation9': 'city7', 'Sub-operation10': 'city9'}, 'Operation8': {'Sub-operation2': 'city3', 'Sub-operation4': 'city7', 'Sub-operation6': 'city9', 'Sub-operation7': 'city7', 'Sub-operation8': 'city1', 'Sub-operation9': 'city2', 'Sub-operation10': 'city3'}, 'Operation9': {'Sub-operation1': 'city5', 'Sub-operation3': 'city4', 'Sub-operation4': 'city6', 'Sub-operation6': 'city8', 'Sub-operation9': 'city10', 'Sub-operation10': 'city8'}, 'Operation10': {'Sub-operation1': 'city9', 'Sub-operation2': 'city4', 'Sub-operation3': 'city1', 'Sub-operation6': 'city9', 'Sub-operation7': 'city7', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7', 'Sub-operation10': 'city10'}}",0.007519721984863281
"10,10,10-2",30311.173586099503,"{'Operation1': {'Sub-operation1': 'city6', 'Sub-operation3': 'city4', 'Sub-operation4': 'city6', 'Sub-operation5': 'city3', 'Sub-operation6': 'city9', 'Sub-operation7': 'city8', 'Sub-operation8': 'city4', 'Sub-operation9': 'city6', 'Sub-operation10': 'city8'}, 'Operation2': {'Sub-operation1': 'city10', 'Sub-operation2': 'city4', 'Sub-operation3': 'city4', 'Sub-operation5': 'city1', 'Sub-operation6': 'city3', 'Sub-operation7': 'city1', 'Sub-operation8': 'city10', 'Sub-operation9': 'city10', 'Sub-operation10': 'city3'}, 'Operation3': {'Sub-operation3': 'city7', 'Sub-operation4': 'city2', 'Sub-operation7': 'city10', 'Sub-operation8': 'city1', 'Sub-operation9': 'city3'}, 'Operation4': {'Sub-operation1': 'city4', 'Sub-operation2': 'city5', 'Sub-operation4': 'city2', 'Sub-operation5': 'city6', 'Sub-operation6': 'city6', 'Sub-operation7': 'city8', 'Sub-operation9': 'city8'}, 'Operation5': {'Sub-operation3': 'city7', 'Sub-operation5': 'city6', 'Sub-operation6': 'city2', 'Sub-operation8': 'city3', 'Sub-operation9': 'city3', 'Sub-operation10': 'city3'}, 'Operation6': {'Sub-operation1': 'city4', 'Sub-operation2': 'city7', 'Sub-operation3': 'city6', 'Sub-operation4': 'city7', 'Sub-operation5': 'city3', 'Sub-operation6': 'city2', 'Sub-operation7': 'city9', 'Sub-operation8': 'city8', 'Sub-operation9': 'city7', 'Sub-operation10': 'city4'}, 'Operation7': {'Sub-operation1': 'city4', 'Sub-operation2': 'city3', 'Sub-operation3': 'city4', 'Sub-operation4': 'city2', 'Sub-operation5': 'city3', 'Sub-operation6': 'city8', 'Sub-operation7': 'city1', 'Sub-operation8': 'city9', 'Sub-operation10': 'city10'}, 'Operation8': {'Sub-operation2': 'city3', 'Sub-operation3': 'city1', 'Sub-operation5': 'city3', 'Sub-operation6': 'city2', 'Sub-operation8': 'city9'}, 'Operation9': {'Sub-operation2': 'city4', 'Sub-operation4': 'city9', 'Sub-operation5': 'city3', 'Sub-operation7': 'city2', 'Sub-operation9': 'city6', 'Sub-operation10': 'city7'}, 'Operation10': {'Sub-operation1': 'city4', 'Sub-operation3': 'city6', 'Sub-operation4': 'city7', 'Sub-operation5': 'city3', 'Sub-operation6': 'city2', 'Sub-operation8': 'city6', 'Sub-operation9': 'city10', 'Sub-operation10': 'city6'}}",0.011885404586791992
"10,10,10-3",31034.361477313505,"{'Operation1': {'Sub-operation1': 'city6', 'Sub-operation2': 'city3', 'Sub-operation3': 'city4', 'Sub-operation4': 'city5', 'Sub-operation5': 'city3', 'Sub-operation6': 'city3', 'Sub-operation7': 'city8', 'Sub-operation8': 'city4', 'Sub-operation9': 'city8', 'Sub-operation10': 'city10'}, 'Operation2': {'Sub-operation1': 'city6', 'Sub-operation2': 'city6', 'Sub-operation3': 'city4', 'Sub-operation4': 'city9', 'Sub-operation5': 'city4', 'Sub-operation8': 'city4', 'Sub-operation10': 'city8'}, 'Operation3': {'Sub-operation1': 'city10', 'Sub-operation2': 'city3', 'Sub-operation3': 'city4', 'Sub-operation4': 'city2', 'Sub-operation5': 'city3', 'Sub-operation6': 'city1', 'Sub-operation7': 'city9', 'Sub-operation8': 'city5', 'Sub-operation9': 'city2', 'Sub-operation10': 'city8'}, 'Operation4': {'Sub-operation1': 'city5', 'Sub-operation2': 'city10', 'Sub-operation3': 'city6', 'Sub-operation4': 'city10', 'Sub-operation5': 'city5', 'Sub-operation6': 'city9', 'Sub-operation8': 'city1', 'Sub-operation9': 'city6'}, 'Operation5': {'Sub-operation2': 'city6', 'Sub-operation4': 'city9', 'Sub-operation5': 'city1', 'Sub-operation6': 'city10', 'Sub-operation7': 'city10', 'Sub-operation9': 'city6'}, 'Operation6': {'Sub-operation1': 'city10', 'Sub-operation2': 'city10', 'Sub-operation3': 'city6', 'Sub-operation5': 'city6', 'Sub-operation6': 'city1', 'Sub-operation7': 'city7', 'Sub-operation8': 'city7'}, 'Operation7': {'Sub-operation2': 'city6', 'Sub-operation4': 'city6', 'Sub-operation5': 'city5', 'Sub-operation6': 'city9', 'Sub-operation7': 'city8', 'Sub-operation8': 'city1', 'Sub-operation10': 'city9'}, 'Operation8': {'Sub-operation1': 'city7', 'Sub-operation2': 'city3', 'Sub-operation3': 'city5', 'Sub-operation4': 'city5', 'Sub-operation7': 'city2', 'Sub-operation8': 'city4', 'Sub-operation10': 'city10'}, 'Operation9': {'Sub-operation1': 'city9', 'Sub-operation2': 'city8', 'Sub-operation3': 'city7', 'Sub-operation4': 'city8', 'Sub-operation5': 'city5', 'Sub-operation6': 'city6', 'Sub-operation7': 'city1', 'Sub-operation8': 'city7', 'Sub-operation10': 'city10'}, 'Operation10': {'Sub-operation1': 'city7', 'Sub-operation2': 'city3', 'Sub-operation4': 'city6', 'Sub-operation5': 'city5', 'Sub-operation6': 'city2', 'Sub-operation7': 'city8', 'Sub-operation8': 'city7', 'Sub-operation9': 'city7'}}",0.009772777557373047
